tweets,labels
@IvorMectin1 He clearly hates white people. Millions in India live in complete poverty while some are incredibly rich yet he doesnt seem to have any complaints about that. Maybe he doesnt care as much if Indians mistreat each other? seems like he wants to blame the white man for everything,no_poverty
"@vinodkapri New India, hide d poor =poverty vanished. Burn d rape victims body=no body raped. Kill n imprison victims=no complaints.",no_poverty
Nehru till date remains the best PM of despite all the flaws and complaints. Nothing short of a miracle that India as a Union survived and thrived post partition as a multi-lingual/religious/ethnic country with such poverty and illiteracy. Stability is underrated. https://t.co/qCHrVUueWu,no_poverty
"@QuestioningBird What is there for superiority complex.
I would like every state in India to be developed.
But BIMARU states are poverty laden, poor infrastructure, education &amp; all parameters.
If #Yogi #BJP had delivered then no complaints.
But he didn’t.
The proof is in the pudding.
Best wishes.",no_poverty
It is too late lakhs of shareholders life time poverty officers of @SEBI_India @BSEIndia @NSEIndia never listen attend complaints of investors as Brokers are their members rather help to loot  https://t.co/PHJnK2Rq40,no_poverty
"If not, join us today.
If you encounter any Childlabour victims,
Contact: 1098 Child HelpLine (or) Register complaints at https://t.co/RX37JwClIV

#stopchildlabour #children #india #childrenrights #education #childlabourindia #poverty #TeamPHC #ActiveMember #team 
#Volunteer",no_poverty
"""All the Loadshedding, Unemployment, R500-billion, PPE , Poverty, Hunger, is Zuma's fault...Even the dirty vaccines  came from Zuma's friends in India the Guptas!"" ~True story, I am quoting a gentleman's complaints to me today! @Jagman05580158",no_poverty
@robottomulatto @DaveMarinara @SpyDoggie @Salem4Congress Lol using Europe as example of poverty. Im sure the 600 million people in India living on a dollar a day would laugh at your privileged complaints. Not being able to afford your next iPhone must really suck.,no_poverty
"""Ideals of Swami Vivekananda?""
99% poverty in India is just because of
..tieup of
Corrupt Dalbadlu Politicians +Corrupt Administration.
What you &amp; your party have done (even after complaints)?
What about Public
@narendramodi ji????? 
@RahulGandhi
@DeependerSHooda
@sakshijoshii https://t.co/5IXvKEE8J3",no_poverty
"@RanaAyyub @TIME Time magazine knows shit about India..people of this country chose thier leader. We know the Muslim brothers we stay with who has no complaints with modi or his government. The only issue in this country is poverty and illiteracy, which people like you take a lot of advantage of",no_poverty
"@BabaJaan8888 Pakistanis themselves are 20 percent poverty levels. Many afghans are better off than many pakistanis.
Iran took millions but never let them integrate like pak did. India took very few. Yet all the complaints abt pak.",no_poverty
"@WhiskyOpinions Sourdough bread in India is the preference of people only on Instagram. Was considering launching sourdough, then thought, would do a survey. Did a survey on about 300 people across different socio-economic classes. ALL had complaints. No one liked it. Hence, proved qed",no_poverty
"@PMOIndia @narendramodi I am sorry my PM sir,we elected you for socio-economic development.
But we never heard any foreign policy,economic policy or domestic development growth from your mouth.
We are hearing only complaints of others work from you.
Sorry sir days of india is wasting.",no_poverty
